FileName,Abstract,RHS,," This paper introduces four classes of rotation invariant orthogonal moments by generalizing four existing moments that use harmonic functions in their radial kernels . Members of these classes share beneficial properties for image representation and pattern recognition like orthogonality and rotation invariance . The kernel sets of these generic harmonic function based moments are complete in the Hilbert space of square integrable continuous complex valued functions . Due to their resemble definition the computation of these kernels maintains the simplicity and numerical stability of existing harmonic function based moments . In addition each member of one of these classes has distinctive properties that depend on the value of a parameter making it more suitable for some particular applications . Comparison with existing orthogonal moments defined based on Jacobi polynomials and eigenfunctions has been carried out and experimental results show the effectiveness of these classes of moments in terms of representation capability and discrimination power . 
"," This paper introduces four classes of rotation invariant orthogonal moments by generalizing four existing moments that use harmonic functions in their radial kernels . Members of these classes share beneficial properties for image representation and pattern recognition like orthogonality and rotation invariance . The kernel sets of these generic harmonic function based moments are complete in the Hilbert space of square integrable continuous complex valued functions . Due to their resemble definition the computation of these kernels maintains the simplicity and numerical stability of existing harmonic function based moments . In addition each member of one of these classes has distinctive properties that depend on the value of a parameter making it more suitable for some particular applications . Comparison with existing orthogonal moments defined based on Jacobi polynomials and eigenfunctions has been carried out and experimental results show the effectiveness of these classes of moments in terms of representation capability and discrimination power . 
"
S0169260715300523," Background and objectives The diagnosis of Developmental Dysplasia of the Hip in infants is currently made primarily by ultrasound . However two dimensional ultrasound images capture only an incomplete portion of the acetabular shape and the alpha and beta angles measured on 2DUS for the Graf classification technique show high inter scan and inter observer variability . This variability relates partly to the manual determination of the apex point separating the acetabular roof from the ilium during index measurement . This study proposes a new 2DUS image processing technique for semi automated tracing of the bony surface followed by automatic calculation of two indices a contour based alpha angle and a new modality independent quantitative rounding index . The new index M is independent of the apex point and can be directly extended to 3D surface models . Methods We tested the proposed indices on a dataset of 114 2DUS scans of infant hips aged between 4 and 183 days scanned using a 12MHz linear transducer . We calculated the manual alpha angle coverage contour based alpha angle and rounding index for each of the recordings and statistically evaluated these indices based on regression analysis area under the receiver operating characteristic curve and analysis of variance . Results Processing time for calculating and M was similar to manual alpha angle measurement 30s per image . Reliability of the new indices was high with inter observer intraclass correlation coefficients 0.90 for and 0.89 for M. For a diagnostic test classifying hips as normal or dysplastic AUC was 93.0 for vs. 92.7 for 91.6 for M alone and up to 95.7 for combination of M with or coverage . Conclusions The rounding index provides complimentary information to conventional indices such as alpha angle and coverage . Calculation of the contour based alpha angle and rounding index is rapid shows potential to improve the reliability and accuracy of DDH diagnosis from 2DUS and could be extended to 3D ultrasound in future . 
",New method to calculate alpha angle for DDH classification from ultrasound 2DUS . New modality independent rounding index M to quantify acetabular rounding. Proposed indices tested on 114 scans and gave 95.7 AUC for normal vs dysplastic. Indices are modality independent and extendable to modalities like CT and MRI.,,,
S0169260715003302," Background and objective Progress in biomedical engineering has improved the hardware available for diagnosis and treatment of cardiac arrhythmias . But although huge amounts of intracardiac electrograms can be acquired during electrophysiological examinations there is still a lack of software aiding diagnosis . The development of novel algorithms for the automated analysis of EGMs has proven difficult due to the highly interdisciplinary nature of this task and hampered data access in clinical systems . Thus we developed a software platform which allows rapid implementation of new algorithms verification of their functionality and suitable visualization for discussion in the clinical environment . Methods A software for visualization was developed in Qt5 and C utilizing the class library of VTK . The algorithms for signal analysis were implemented in MATLAB . Clinical data for analysis was exported from electroanatomical mapping systems . Results The visualization software KaPAVIE was implemented and tested on several clinical datasets . Both common and novel algorithms were implemented which address important clinical questions in diagnosis of different arrhythmias . It proved useful in discussions with clinicians due to its interactive and user friendly design . Time after export from the clinical mapping system to visualization is below 5min . Conclusion KaPAVIE See http www.ibt.kit.edu hardundsoftware.php . is a powerful platform for the development of novel algorithms in the clinical environment . Simultaneous and interactive visualization of measured EGM data and the results of analysis will aid diagnosis and help understanding the underlying mechanisms of complex arrhythmias like atrial fibrillation . 
",Need for novel algorithms in diagnosis and treatment of cardiac arrhythmias. Combined development using MATLAB and C VTK library. Allows for rapid implementation of new algorithms. Interactive visualization of cardiac anatomy measured data and analysis results. Promotes interdisciplinary research and discussion.,,,
S0262885614000146,"In this paper we propose an album oriented face recognition model that exploits the album structure for face recognition in online social networks. Albums usually associated with pictures of a small group of people at a certain event or occasion provide vital information that can be used to effectively reduce the possible list of candidate labels. We show how this intuition can be formalized into a model that expresses a prior on how albums tend to have many pictures of a small number of people. We also show how it can be extended to include other information available in a social network. Using two real world datasets independently drawn from Facebook we show that this model is broadly applicable and can significantly improve recognition rates. 
",We propose a face recognition model based on albums in online social networks. Albums tend to be composed of many pictures of a small group of people. Limiting the set of unique labels and using album level features improve recognition. We present two systems to learn how best to use these social features. We validate our model on two datasets independently downloaded from Facebook.,,,
S0169260715301814," Background and objective Methods used in image processing should reflect any multilevel structures inherent in the image dataset or they run the risk of functioning inadequately . We wish to test the feasibility of multilevel principal components analysis to build active shape models for cases relevant to medical and dental imaging . Methods Multilevel PCA was used to carry out model fitting to sets of landmark points and it was compared to the results of standard PCA . Proof of principle was tested by applying mPCA to model basic peri oral expressions approximated to the junction between the mouth lips . Monte Carlo simulations were used to create this data which allowed exploration of practical implementation issues such as the number of landmark points number of images and number of groups . To further test the robustness of the method mPCA was subsequently applied to a dental imaging dataset utilising landmark points along the boundary of mandibular cortical bone in panoramic radiographs of the face . Results Changes of expression that varied between groups were modelled correctly at one level of the model and changes in lip width that varied within groups at another for the Monte Carlo dataset . Extreme cases in the test dataset were modelled adequately by mPCA but not by standard PCA . Similarly variations in the shape of the cortical bone were modelled by one level of mPCA and variations between the experts at another for the panoramic radiographs dataset . Results for mPCA were found to be comparable to those of standard PCA for point to point errors via miss one out testing for this dataset . These errors reduce with increasing number of eigenvectors values retained as expected . Conclusions We have shown that mPCA can be used in shape models for dental and medical image processing . mPCA was found to provide more control and flexibility when compared to standard single level PCA . Specifically mPCA is preferable to standard PCA when multiple levels occur naturally in the dataset . 
",mPCA in ASMs can be used in medical and dental image analysis. Results provided by mPCA in initial studies appear to be sensible. Between and within subject variations are modelled correctly using mPCA. mPCA has more flexibility control and accuracy than standard PCA. mPCA is the correct method of combining sets of landmark points from different experts.,,,
S0169260715002692," Background Accurate segmentation of human head on medical images is an important process in a wide array of applications such as diagnosis facial surgery planning prosthesis design and forensic identification . Objectives In this study a Bayesian method for segmentation of facial tissues is presented . Segmentation classes include muscle bone fat air and skin . Methods The method presented incorporates information fusion from multiple modalities modelling of image resolution image noise two priors helping to reduce noise and partial volume . Image resolution modelling employed facilitates resolution enhancement and superresolution capabilities during image segmentation . Regularization based on isotropic and directional Markov Random Field priors is integrated . The Bayesian model is solved iteratively yielding tissue class labels at every voxel of the image . Sub methods as variations of the main method are generated by using a combination of the models . Results Testing of the sub methods is performed on two patients using single modality three dimensional image as well as registered MR CT images with information fusion . Numerical visual and statistical analyses of the methods are conducted . High segmentation accuracy values are obtained by the use of image resolution and partial volume models as well as information fusion from MR and CT images . The methods are also compared with our Bayesian segmentation method proposed in a previous study . The performance is found to be similar to our previous Bayesian approach but the presented methods here eliminates ad hoc parameter tuning needed by the previous approach which is system and data acquisition setting dependent . Conclusions The Bayesian approach presented provides resolution enhanced segmentation of very thin structures of the human head . Meanwhile free parameters of the algorithm can be adjusted for different imaging systems and data acquisition settings in a more systematic way as compared with our previous study . 
",Bayesian method provides resolution enhanced segmentation of human head. Segmentation classes incllude muscle bone fat air and skin. Tests were performed on 3D MR and CT images as well as registered MR CT images. The most successful results were obtained by the information fusion of MR and CT. Free parameters of the algorithm can be adjusted in a more systematic way.,,,
S0169260715003247," The assessment of microcirculation spatial heterogeneity on the hand skin is the main objective of this work . Near infrared spectroscopy based 2D imaging is a non invasive technique for the assessment of tissue oxygenation . The haemoglobin oxygen saturation images were acquired by a dedicated camera during baseline ischaemia and reperfusion . Acquired images underwent a preliminary restoration process aimed at removing degradations occurring during signal capturing . Then wavelet transform based multiscale analysis was applied to identify edges by detecting local maxima and minima across successive scales . Segmentation of test areas during different conditions was obtained by thresholding based region growing approach . The method identifies the differences in microcirculatory control of blood flow in different regions of the hand skin . The obtained results demonstrate the potential use of NIRS images for the clinical evaluation of skin disease and microcirculatory dysfunction . 
",We study oxygen saturation by vascular occlusion test. NIRS camera captured 2D images of hand during ischaemia and in perfusion. We applied edge detection and segmentation to NIRS images. With the applied methods we can visualize the oxygenation changes. The method allows to quantitate and visualize oxygenation at the same time.,,,
S0169260715301188," Background and objective We live our lives by the calendar and the clock but time is also an abstraction even an illusion . The sense of time can be both domain specific and complex and is often left implicit requiring significant domain knowledge to accurately recognize and harness . In the clinical domain the momentum gained from recent advances in infrastructure and governance practices has enabled the collection of tremendous amount of data at each moment in time . Electronic health records have paved the way to making these data available for practitioners and researchers . However temporal data representation normalization extraction and reasoning are very important in order to mine such massive data and therefore for constructing the clinical timeline . The objective of this work is to provide an overview of the problem of constructing a timeline at the clinical point of care and to summarize the state of the art in processing temporal information of clinical narratives . Methods This review surveys the methods used in three important area modeling and representing of time medical NLP methods for extracting time and methods of time reasoning and processing . The review emphasis on the current existing gap between present methods and the semantic web technologies and catch up with the possible combinations . Results The main findings of this review are revealing the importance of time processing not only in constructing timelines and clinical decision support systems but also as a vital component of EHR data models and operations . Conclusions Extracting temporal information in clinical narratives is a challenging task . The inclusion of ontologies and semantic web will lead to better assessment of the annotation task and together with medical NLP techniques will help resolving granularity and co reference resolution problems . 
",Multifaceted aspects in time and time oriented concepts. Comparison of clinical data models in handling time. Ontologies of representation and reasoning about time in the clinical domain. Constructing the timelines for the medical histories of patients. Temporal concept coreference resolution problem.,,,
S0169260715300328," In crisis situations a seamless ubiquitous communication is necessary to provide emergency medical service to save people s lives . An excellent prehospital emergency medicine provides immediate medical care to increase the survival rate of patients . On their way to the hospital ambulance personnel must transmit real time and uninterrupted patient information to the hospital to apprise the physician of the situation and provide options to the ambulance personnel . In emergency and crisis situations many communication channels can be unserviceable because of damage to equipment or loss of power . Thus data transmission over wireless communication to achieve uninterrupted network services is a major obstacle . This study proposes a mobile middleware for cognitive radio for improving the wireless communication link . CRs can sense their operating environment and optimize the spectrum usage so that the mobile middleware can integrate the existing wireless communication systems with a seamless communication service in heterogeneous network environments . Eventually the proposed seamless mobile communication middleware was ported into an embedded system which is compatible with the actual network environment without the need for changing the original system architecture . 
",In emergency and crisis situations many communication channels can be unserviceable because of damage to equipment or loss of power. Thus data transmission over wireless communication to achieve uninterrupted network services is a major obstacle. The proposed middleware can sense its operating environment and optimize the spectrum usage to integrate the existing heterogeneous wireless communication systems. The proposed middleware was ported into an embedded system which is compatible with the actual network environment without the need for changing the original system architecture.,,,
S0169260715002679," Cataract is defined as a lenticular opacity presenting usually with poor visual acuity . It is one of the most common causes of visual impairment worldwide . Early diagnosis demands the expertise of trained healthcare professionals which may present a barrier to early intervention due to underlying costs . To date studies reported in the literature utilize a single learning model for retinal image classification in grading cataract severity . We present an ensemble learning based approach as a means to improving diagnostic accuracy . Three independent feature sets i.e . wavelet sketch and texture based features are extracted from each fundus image . For each feature set two base learning models i.e . Support Vector Machine and Back Propagation Neural Network are built . Then the ensemble methods majority voting and stacking are investigated to combine the multiple base learning models for final fundus image classification . Empirical experiments are conducted for cataract detection and cataract grading tasks . The best performance of the ensemble classifier is 93.2 and 84.5 in terms of the correct classification rates for cataract detection and grading tasks respectively . The results demonstrate that the ensemble classifier outperforms the single learning model significantly which also illustrates the effectiveness of the proposed approach . 
",Fundus image analysis provides great potentials for automatic cataract diagnosis. Ensemble learning is exploited for combining multiple models to improve the performance. Three independent feature sets i.e. wavelet sketch and texture based features are utilized. Two base learning models i.e. Support Vector Machine and Back Propagation Neural Network are investigated in the ensemble approach. The experiments demonstrate that our approach outperforms single model significantly.,,,
S0169260715300110," Background and objective The automatic classification of breast imaging lesions is currently an unsolved problem . This paper describes an innovative representation learning framework for breast cancer diagnosis in mammography that integrates deep learning techniques to automatically learn discriminative features avoiding the design of specific hand crafted image based feature detectors . Methods A new biopsy proven benchmarking dataset was built from 344 breast cancer patients cases containing a total of 736 film mammography views representative of manually segmented lesions associated with masses 426 benign lesions and 310 malignant lesions . The developed method comprises two main stages preprocessing to enhance image details and supervised training for learning both the features and the breast imaging lesions classifier . In contrast to previous works we adopt a hybrid approach where convolutional neural networks are used to learn the representation in a supervised way instead of designing particular descriptors to explain the content of mammography images . Results Experimental results using the developed benchmarking breast cancer dataset demonstrated that our method exhibits significant improved performance when compared to state of the art image descriptors such as histogram of oriented gradients and histogram of the gradient divergence increasing the performance from 0.787 to 0.822 in terms of the area under the ROC curve . Interestingly this model also outperforms a set of hand crafted features that take advantage of additional information from segmentation by the radiologist . Finally the combination of both representations learned and hand crafted resulted in the best descriptor for mass lesion classification obtaining 0.826 in the AUC score . Conclusions A novel deep learning based framework to automatically address classification of breast mass lesions in mammography was developed . 
",Innovative representation learning framework for breast cancer lesion classification. A hybrid CNN method to learn image based features in a supervised way. New breast cancer benchmarking dataset to support computer aided diagnosis methods.,,,
S0169260715300420," Nowadays the diagnosis and treatment of pelvic sarcoma pose a major surgical challenge for reconstruction in orthopedics . With the development of manufacturing technology the metal 3D printed customized implants have brought revolution for the limb salvage resection and reconstruction surgery . However the tumor resection is not without risk and the precise implant placement is very difficult due to the anatomic intricacies of the pelvis . In this study a surgical navigation system including the implant calibration algorithm has been developed so that the surgical instruments and the 3D printed customized implant can be tracked and rendered on the computer screen in real time minimizing the risks and improving the precision of the surgery . Both the phantom experiment and the pilot clinical case study presented the feasibility of our computer aided surgical navigation system . According to the accuracy evaluation experiment the precision of customized implant installation can be improved three to five times compared with the non navigated implant installation after the guided osteotomy which means it is sufficient to meet the clinical requirements of the pelvic reconstruction . However more clinical trials will be conducted in the future work for the validation of the reliability and efficiency of our navigation system . 
",A navigation system was developed for pelvic tumor resection and reconstruction. A novel method for tracking the 3D printed patient specific implant was proposed. Both the phantom and clinical case study demonstrated the system feasibility. The high and stable accuracy regarding TRE demonstrated the system repeatability.,,,
S0198971513000240," Iterative proportional fitting is a widely used method for spatial microsimulation . The technique results in non integer weights for individual rows of data . This is problematic for certain applications and has led many researchers to favour combinatorial optimisation approaches such as simulated annealing . An alternative to this is integerisation of IPF weights the translation of the continuous weight variable into a discrete number of unique or cloned individuals . We describe four existing methods of integerisation and present a new one . Our method truncate replicate sample recognises that IPF weights consist of both replication weights and conventional weights the effects of which need to be separated . The procedure consists of three steps separate replication and conventional weights by truncation replication of individuals with positive integer weights and probabilistic sampling . The results which are reproducible using supplementary code and data published alongside this paper show that TRS is fast and more accurate than alternative approaches to integerisation . 
",Integerisation of weights obtained from iterative proportional fitting. Evaluation of five methods for integerisation. New method presented based on truncation replication and sampling TRS . The new method outperforms previously published integerisation strategies. Easily reproducible results using publicly available R code and data.,,,
S0169260715301012," Background and objectives Computer aided analysis of mammograms has been employed by radiologists as a vital tool to increase the precision in the diagnosis of breast cancer . The efficiency of such an analysis is dependent on the employed mammogram enhancement approach as its major role is to yield a visually improved image for radiologists . Methods Non linear Polynomial Filtering framework has been explored previously as a robust approach for contrast improvement of mammographic images . This paper presents the extension of NPF framework for sharpening and edge enhancement of mammogram lesions . Proposed NPF serves to provide enhancement of edges and sharpness of the lesion region in mammograms in a manner to minimize the dependencies on pre selected thresholds . In the present work Logarithmic Image Processing model has been employed for the purpose of improvement in visualization of mammograms based on Human Visual System characteristics . Results The proposed NPF filtering framework yields mammograms with significant improvement in contrast edges as well as sharpness of the lesion region . The performance of the proposed approach has been validated using state of art objective evaluation measures like Contrast Improvement Index Peak Signal to Noise Ratio Average Signal to Noise Ratio and Combined Enhancement Measure as well as subjective evaluation by radiologists opinions . Conclusions The proposed NPF provides a robust solution to perform noise controlled contrast as well as edge enhancement using a single filtering model . This leads to a better visualization of the fine lesion details predictive of their severity . The applicability of single filtering methodology for carrying out denoising contrast and edge enhancement improves the worth of the overall framework . 
",NPF framework serves to catalyze the computer aided analysis of mammograms. It provides the radiologists with improved mammograms for precision in diagnosis. An extension of NPF for sharpening and edge enhancement of mammograms is presented. Integration of LIP model provides enhancement response in coherence to HVS. The obtained results are evaluated using CII PSNR CEM as image quality metrics.,,,
